<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Vietnamese>
weapons/127mm_38_mk12_turret_mk22_twin_naval_user_cannon;127 mm L/38 Mk. XII cannon, mount Mk. 22;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_turret_mk28_twin_naval_user_cannon;127 mm L/38 Mk. XII cannon, mount Mk. 28;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_turret_mk30_single_naval_user_cannon;127 mm L/38 Mk. XII cannon, mount Mk. 30;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_turret_mk32_twin_naval_user_cannon;127 mm L/38 Mk. XII cannon, mount Mk. 32;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_turret_mk38_twin_naval_user_cannon;127 mm L/38 Mk. XII cannon, mount Mk. 38;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_mod14_aa_naval_user_cannon;127 mm L/38 Mk. XII Dual Purpose gun;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_naval_user_cannon;127 mm L/38 Mk. XII Dual Purpose gun;;;;;;;;;;;;;;;;;;;;
weapons/127mm_5_40_type_89_naval_user_cannon;127 mm L/40 Type 89 cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_45_skc_34_naval_user_cannon/short;127 mm L/45 C/34 SK;;;;;;;;;;;;;;;;;;;;
weapons/127mm_45_skc_34_naval_user_cannon;127 mm L/45 C/34 SK;;;;;;;;;;;;;;;;;;;;
weapons/127mm_5_50_type_3_naval_user_cannon;127 mm L/50 3rd Year Type cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_50_mk5_naval_user_cannon;127 mm L/50 Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_51_mk7_naval_user_cannon;127 mm L/51 Mk. VII cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_54_mk18_turret_mk42_single_naval_user_cannon;127 mm L/54 Mk. 18 cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_54_mk42_naval_user_cannon;127 mm L/54 Mk. 42 cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_54_mk16_single_naval_user_cannon;127 mm L/54 Mk. 16 cannon;;;;;;;;;;;;;;;;;;;;
weapons/128mm_45_skc_41_naval_user_cannon/short;128 mm L/45 C/41 SK;;;;;;;;;;;;;;;;;;;;
weapons/128mm_45_skc_41_naval_user_cannon;128 mm L/45 C/41 SK;;;;;;;;;;;;;;;;;;;;
weapons/130mm_40_model_1919_naval_user_cannon/short;130 mm L/40 model 1919;;;;;;;;;;;;;;;;;;;;
weapons/130mm_40_model_1919_naval_user_cannon;130 mm L/40 model 1919 gun;;;;;;;;;;;;;;;;;;;;
weapons/130mm_45_model_1932_naval_user_cannon/short;130 mm L/45 model 1932;;;;;;;;;;;;;;;;;;;;
weapons/130mm_45_model_1932_naval_user_cannon;130 mm L/45 model 1932 gun;;;;;;;;;;;;;;;;;;;;
weapons/130mm_50_b13_1936_naval_user_cannon;130 mm L/50 130 mm B-13 obr. 1936 g. CNN;;;;;;;;;;;;;;;;;;;;
weapons/130mm_55_obr1913_naval_user_cannon;130 mm L/55 pattern 1913 cannon;;;;;;;;;;;;;;;;;;;;
weapons/130mm_58_sm_2_1_naval_user_cannon;130 mm L/58 SM-2-1 cannon;;;;;;;;;;;;;;;;;;;;
weapons/133mm_5_25inch_50_qf_mk1_ask_naval_user_cannon;133 mm L/50 Gun, Q.F., 5.25-inch, Mk. I CNN;;;;;;;;;;;;;;;;;;;;
weapons/133mm_5_25inch_50_qf_mk1_naval_user_cannon;133 mm L/50 QF Mk. I cannon;;;;;;;;;;;;;;;;;;;;
weapons/135mm_45_oto_mod1938_naval_user_cannon;135 mm L/45 O.T.O. Mod. 1938 cannon;;;;;;;;;;;;;;;;;;;;
weapons/138mm_40_model_1927_naval_user_cannon/short;138.6 mm L/40 model 1927;;;;;;;;;;;;;;;;;;;;
weapons/138mm_40_model_1927_naval_user_cannon;138.6 mm L/40 model 1927 gun;;;;;;;;;;;;;;;;;;;;
weapons/138mm_50_model_1929_naval_user_cannon/short;138.6 mm L/50 model 1929;;;;;;;;;;;;;;;;;;;;
weapons/138mm_50_model_1929_naval_user_cannon;138.6 mm L/50 model 1929 gun;;;;;;;;;;;;;;;;;;;;
weapons/138mm_50_model_1934_naval_user_cannon/short;138.6 mm L/50 model 1934;;;;;;;;;;;;;;;;;;;;
weapons/138mm_50_model_1934_naval_user_cannon;138.6 mm L/50 model 1934 gun;;;;;;;;;;;;;;;;;;;;
weapons/138mm_55_model_1910_naval_user_cannon/short;138.6 mm L/55 model 1910;;;;;;;;;;;;;;;;;;;;
weapons/138mm_55_model_1910_naval_user_cannon;138.6 mm L/55 model 1910 gun;;;;;;;;;;;;;;;;;;;;
weapons/140mm_50_3rd_year_type_14_naval_user_cannon;140 mm L/50 3rd Year Type cannon;;;;;;;;;;;;;;;;;;;;
weapons/150mm_45_skl_45_naval_user_cannon;150 mm L/45 C/08 SK;;;;;;;;;;;;;;;;;;;;
weapons/150mm_l_48_c_36_naval_user_cannon;150 mm L/48 C/36 SK;;;;;;;;;;;;;;;;;;;;
weapons/152mm_50_type_41_naval_user_cannon;150 mm L/50 Type 41 cannon;;;;;;;;;;;;;;;;;;;;
weapons/150mm_l_55_naval_user_cannon;150 mm L/55 C/28 SK;;;;;;;;;;;;;;;;;;;;
weapons/150mm_55_skc_28_naval_user_cannon;150 mm L/55 C/28 SK;;;;;;;;;;;;;;;;;;;;
weapons/150mm_60_skc_25_naval_user_cannon;150 mm L/60 C/25 SK;;;;;;;;;;;;;;;;;;;;
weapons/152mm_m81_naval_user_cannon;152 mm Gun-Launcher, 152mm, M81E1 CNN-LCH;;;;;;;;;;;;;;;;;;;;
weapons/152mm_40_armstrong_mod_1899_1916_naval_user_cannon;152 mm L/40 Armstrong cannon mod.1899/1916;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_45_bl_mk7_naval_user_cannon;152 mm L/45 BL Mk. VII cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_45_bl_mk12_naval_user_cannon;152 mm L/45 BL Mk. XII cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_45_schneider_mod1911_naval_user_cannon;152 mm L/45 Schneider cannon, model 1911;;;;;;;;;;;;;;;;;;;;
weapons/152mm_45_41st_year_type_naval_user_cannon;152 mm L/45 Type 41 cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_47_mk_16_naval_user_cannon;152 mm L/47 Mk. XVI cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_50_bl_mk23_naval_user_cannon;152 mm L/50 BL Mk. XXIII cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_50_qf_mk_5_naval_user_cannon;152 mm L/50 QF Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_53_mod_45_1926_naval_user_cannon;152 mm L/53 Ansaldo mod.1926 cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_53_mk_12_naval_user_cannon;152 mm L/53 Mk. XII cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_53_mod_45_1929_naval_user_cannon;152 mm L/53 O.T.O. Mod.1929 cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_55_mod_45_1934_naval_user_cannon;152 mm L/55 Ansaldo Mod.1934 cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_55_model_1930_naval_user_cannon/short;152 mm L/55 model 1930;;;;;;;;;;;;;;;;;;;;
weapons/152mm_55_model_1930_naval_user_cannon;152 mm L/55 model 1930 gun;;;;;;;;;;;;;;;;;;;;
weapons/152mm_57_b38_naval_user_cannon;152 mm L/57 B-38 cannon;;;;;;;;;;;;;;;;;;;;
weapons/152mm_6inch_50_bl_mk22_naval_user_cannon;152 mm L/50 BL Mark XXII cannon;;;;;;;;;;;;;;;;;;;;
weapons/155mm_60_type_3_naval_user_cannon;155 mm 60 Kōkei 3 Nen Shiki 15.5 Sanchi Hō CNN;;;;;;;;;;;;;;;;;;;;
weapons/155mm_50_model_20_naval_user_cannon/short;155 mm L/50 model 1920;;;;;;;;;;;;;;;;;;;;
weapons/155mm_50_model_20_naval_user_cannon;155 mm L/50 model 1920 gun;;;;;;;;;;;;;;;;;;;;
weapons/180mm_57_b1p_naval_user_cannon/short;180 mm L/57 B-1-P;;;;;;;;;;;;;;;;;;;;
weapons/180mm_57_b1p_naval_user_cannon;180 mm L/57 B-1-P naval gun;;;;;;;;;;;;;;;;;;;;
weapons/180mm_60_b1k_naval_user_cannon/short;180 mm L/60 B-1-K;;;;;;;;;;;;;;;;;;;;
weapons/180mm_60_b1k_naval_user_cannon;180 mm L/60 B-1-K naval gun;;;;;;;;;;;;;;;;;;;;
weapons/190mm_7_5inch_45_bl_mk6_naval_user_cannon;190 mm L/45 BL Mk. VI cannon;;;;;;;;;;;;;;;;;;;;
weapons/200mm_45_type_41_naval_user_cannon;200 mm L/45 Type 41 cannonn;;;;;;;;;;;;;;;;;;;;
weapons/200mm_50_3rd_year_type_no1_naval_user_cannon;203 mm L/50 3rd year type No.1 cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_50_3rd_year_type_no2_naval_user_cannon;203 mm L/50 3rd year type No.2 cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_50_ansaldo_mod1924_naval_user_cannon;203 mm L/50 Ansaldo mod.1924 cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_50_8inch_mk8_naval_user_cannon;203 mm L/50 Mk. VIII cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_50_mle_1924_naval_user_cannon/short;203 mm L/50 model 1924;;;;;;;;;;;;;;;;;;;;
weapons/203mm_50_mle_1924_naval_user_cannon;203 mm L/50 model 1924 gun;;;;;;;;;;;;;;;;;;;;
weapons/203mm_50_ansaldo_mod1927_naval_user_cannon;203 mm L/53 Ansaldo mod.1927 cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_55_8inch_mk9_naval_user_cannon;203 mm L/55 Mk. IX cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_55_8inch_mk12_naval_user_cannon;203 mm L/55 Mk. XII cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_55_8inch_mk14_naval_user_cannon;203 mm L/55 Mk. XIV cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_55_8inch_mk16_naval_user_cannon;203 mm L/55 Mk. XVI cannon;;;;;;;;;;;;;;;;;;;;
weapons/203mm_60_skc_34_naval_user_cannon;203 mm L/60 C/34 SK;;;;;;;;;;;;;;;;;;;;
weapons/283mm_45_skl_45_naval_user_cannon;283 mm L/45 C/10 SK;;;;;;;;;;;;;;;;;;;;
weapons/283mm_52_skc_28_naval_user_cannon;283 mm L/52 C/28 SK;;;;;;;;;;;;;;;;;;;;
weapons/283mm_54_5_skc_34_naval_user_cannon;283 mm L/54.5 C/34 SK;;;;;;;;;;;;;;;;;;;;
weapons/305mm_45_12inch_mark10_naval_user_cannon;305 mm L/45 Mark X cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_45_12inch_mk5_naval_user_cannon;305 mm L/45 Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_45_model_1906_10_naval_user_cannon/short;305 mm L/45 model 1906-10;;;;;;;;;;;;;;;;;;;;
weapons/305mm_45_model_1906_10_naval_user_cannon;305 mm L/45 model 1906-10 gun;;;;;;;;;;;;;;;;;;;;
weapons/305mm_45_41st_year_type_naval_user_cannon;305 mm L/45 Vickers cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_46_armstrong_mod_1909_naval_user_cannon;305 mm L/46 Armstrong cannon, model 1909;;;;;;;;;;;;;;;;;;;;
weapons/305mm_46_vickers_mod_1909_naval_user_cannon;305 mm L/46 Vickers cannon, model 1909;;;;;;;;;;;;;;;;;;;;
weapons/305mm_50_12inch_mark11_naval_user_cannon;305 mm L/50 Mark XI cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_50_12inch_mk7_naval_user_cannon;305 mm L/50 Mk. VII cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_50_12inch_mk8_naval_user_cannon;305 mm L/50 Mk. VIII cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_50_skl_50_naval_user_cannon;305 mm L/50 C/11 SK;;;;;;;;;;;;;;;;;;;;
weapons/305mm_50_41st_year_type_naval_user_cannon;305 mm L/50 Vickers cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_52_obr1907_1941_naval_user_cannon;305 mm L/52 pattern 1907 cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_52_obr1907_naval_user_cannon;305 mm L/52 pattern 1907 cannon;;;;;;;;;;;;;;;;;;;;
weapons/305mm_54_b_50_naval_user_cannon;305 mm L/54 B-50 cannon;;;;;;;;;;;;;;;;;;;;
weapons/320mm_40_ansaldo_mod_1934_naval_user_cannon/short;320 mm L/44 Ansaldo 1934;;;;;;;;;;;;;;;;;;;;
weapons/320mm_40_ansaldo_mod_1934_naval_user_cannon;320 mm L/44 Ansaldo model 1934 gun;;;;;;;;;;;;;;;;;;;;
weapons/320mm_40_mod_1936_naval_user_cannon/short;320 mm L/44 Ansaldo model 1936;;;;;;;;;;;;;;;;;;;;
weapons/320mm_40_mod_1936_naval_user_cannon;320 mm L/44 Ansaldo model 1936 gun;;;;;;;;;;;;;;;;;;;;
weapons/320mm_40_oto_mod_1934_naval_user_cannon/short;320 mm L/44 OTO 1934;;;;;;;;;;;;;;;;;;;;
weapons/320mm_40_oto_mod_1934_naval_user_cannon;320 mm L/44 OTO model 1934 gun;;;;;;;;;;;;;;;;;;;;
weapons/330mm_52_model_1931_naval_user_cannon/short;330 mm L/52 model 1931;;;;;;;;;;;;;;;;;;;;
weapons/330mm_52_model_1931_naval_user_cannon;330 mm L/52 model 1931 gun;;;;;;;;;;;;;;;;;;;;
weapons/340mm_45_model_1912_naval_user_cannon/short;340 mm L/45 model 1912;;;;;;;;;;;;;;;;;;;;
weapons/340mm_45_model_1912_naval_user_cannon;340 mm L/45 model 1912 gun;;;;;;;;;;;;;;;;;;;;
weapons/343mm_45_mk5h_naval_user_cannon;343 mm L/45 Mk. V(H) cannon;;;;;;;;;;;;;;;;;;;;
weapons/343mm_45_mk5l_naval_user_cannon;343 mm L/45 Mk. V(L) cannon;;;;;;;;;;;;;;;;;;;;
weapons/356mm_45_14inch_mk8_naval_user_cannon;356 mm L/45 Mk. VIII cannon;;;;;;;;;;;;;;;;;;;;
weapons/356mm_45_14inch_mk12_naval_user_cannon;356 mm L/45 Mk. XII cannon;;;;;;;;;;;;;;;;;;;;
weapons/356mm_45_41st_year_type_naval_user_cannon;356 mm L/45 Type 41 cannon;;;;;;;;;;;;;;;;;;;;
weapons/356mm_50_14inch_mk11_naval_user_cannon;356 mm L/50 Mk. XI cannon;;;;;;;;;;;;;;;;;;;;
weapons/356mm_52_obr1913_naval_user_cannon;356 mm L/52 pattern 1913 cannon;;;;;;;;;;;;;;;;;;;;
weapons/380mm_45_mle_1935_naval_user_cannon/short;380 mm L/45 Canon Mle. 1935;;;;;;;;;;;;;;;;;;;;
weapons/380mm_45_mle_1935_naval_user_cannon;380 mm L/45 Canon modèle 1935 CNN;;;;;;;;;;;;;;;;;;;;
weapons/380mm_45_skl_45_naval_user_cannon;380 mm L/45 C/14 SK;;;;;;;;;;;;;;;;;;;;
weapons/380mm_52_skc_34_naval_user_cannon;380 mm L/52 C/34 SK;;;;;;;;;;;;;;;;;;;;
weapons/381mm_40_armstrong_mod_1914_naval_user_cannon;381 mm L/40 Armstrong cannon, mod.1914;;;;;;;;;;;;;;;;;;;;
weapons/381mm_42_bl_mk1_naval_user_cannon;381 mm L/42 BL Mk. I cannon;;;;;;;;;;;;;;;;;;;;
weapons/381mm_50_ansaldo_oto_mod_1934_naval_user_cannon;381 mm L/50 Cannone Ansaldo-O.T.O. modello 1939 CNN;;;;;;;;;;;;;;;;;;;;
weapons/406mm_45_bl_mk1_r1_naval_user_cannon;406 mm L/45 BL Mark I cannon;;;;;;;;;;;;;;;;;;;;
weapons/406mm_45_bl_mk1_r2_naval_user_cannon;406 mm L/45 BL Mark I mod.2 cannon;;;;;;;;;;;;;;;;;;;;
weapons/406mm_45_mk5_naval_user_cannon/short;406 mm L/45 Mk.5;;;;;;;;;;;;;;;;;;;;
weapons/406mm_45_mk5_naval_user_cannon;406 mm L/45 Mk.5 gun;;;;;;;;;;;;;;;;;;;;
weapons/406mm_50_b37_naval_user_cannon;406 mm L/50 B-37 obr. 1937 g. CNN;;;;;;;;;;;;;;;;;;;;
weapons/406mm_50_mk7_naval_user_cannon;406 mm L/50 Mk 7 Mod 0 CNN;;;;;;;;;;;;;;;;;;;;
weapons/410mm_45_type_3_naval_user_cannon/short;410 mm L/45 Type 3;;;;;;;;;;;;;;;;;;;;
weapons/410mm_45_type_3_naval_user_cannon;410 mm L/45 Type 3 gun;;;;;;;;;;;;;;;;;;;;
weapons/460mm_45_type_94_naval_user_cannon/short;460 mm L/45 Kōkei 94 Shiki 40 Sanchi Hō;;;;;;;;;;;;;;;;;;;;
weapons/460mm_45_type_94_naval_user_cannon;460 mm L/45 Kōkei 94 Shiki 40 Sanchi Hō CNN;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN COASTAL FLEET - VEHICLE/FAMILY START: RANK 1;;;;;;;;;;;;;;;;;;;;;
jp_t14_class_shop;T-14 Dai 538 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_0;Maizuru Kaigun Kōshō | Otsu Gata Gyorai Tei | Dai 538 Gō Gata Gyorai Tei (T-14) | Dai 538 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_1;T-14 Dai 538 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod02_shop;T-14 Dai 1101 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod02_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Otsu Gata Gyorai Tei | Dai 538 Gō Gata Gyorai Tei (T-14) | Dai 1101 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod02_1;T-14 Dai 1101 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod02_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod01_shop;T-14 Dai 871 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod01_0;Mitsubishi Jū Kōgyō Nagasaki Zōsenjo | Otsu Gata Gyorai Tei | Dai 538 Gō Gata Gyorai Tei (T-14) | Dai 871 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod01_1;T-14 Dai 871 Gō;;;;;;;;;;;;;;;;;;;;
jp_t14_class_mod01_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_type5_escortboat_shop;Ke I Kō;;;;;;;;;;;;;;;;;;;;
jp_type5_escortboat_0;Haganesei Dai Goeikan | Ke I Kō;;;;;;;;;;;;;;;;;;;;
jp_type5_escortboat_1;Ke I Kō;;;;;;;;;;;;;;;;;;;;
jp_type5_escortboat_2;Escort boat;;;;;;;;;;;;;;;;;;;;
jp_type_t1_1941_shop;T-1 Dai 1 Gō;;;;;;;;;;;;;;;;;;;;
jp_type_t1_1941_0;Yokohama Yotto | Otsu Gata Gyorai Tei | Dai 1 Gō Gata Gyorai Tei (T-1) | Dai 1 Gō;;;;;;;;;;;;;;;;;;;;
jp_type_t1_1941_1;T-1 Dai 1 Gō;;;;;;;;;;;;;;;;;;;;
jp_type_t1_1941_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr1_shop;Sōkō Tei Dai 1 Gō;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr1_0;"Sōkō Tei Dai 1 Gō ""Sakigake""";;;;;;;;;;;;;;;;;;;;
jp_abtei_pr1_1;Sōkō Tei;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr1_2;Armored boat;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr4_shop;Sōkō Tei Dai 4 Gō;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr4_0;Sōkō Tei Dai 3 Gō Gata | Sōkō Tei Dai 4 Gō;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr4_1;Sōkō Tei;;;;;;;;;;;;;;;;;;;;
jp_abtei_pr4_2;Armored boat;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN COASTAL FLEET - VEHICLE/FAMILY START: RANK 2;;;;;;;;;;;;;;;;;;;;;
jp_karotei_type2_shop;Ka Ro 2 Gata;;;;;;;;;;;;;;;;;;;;
jp_karotei_type2_0;Yokohama Yotto | 4 Shiki 2 Gata Kuchiku Tei | Ka Ro 2 Gata;;;;;;;;;;;;;;;;;;;;
jp_karotei_type2_1;Ka Ro;;;;;;;;;;;;;;;;;;;;
jp_karotei_type2_2;Motor gunboat;;;;;;;;;;;;;;;;;;;;
jp_karotei_type4_shop;Ka Ro 4 Gata;;;;;;;;;;;;;;;;;;;;
jp_karotei_type4_0;Yokohama Yotto | 4 Shiki 4 Gata Kuchiku Tei | Ka Ro 4 Gata;;;;;;;;;;;;;;;;;;;;
jp_karotei_type4_1;Ka Ro;;;;;;;;;;;;;;;;;;;;
jp_karotei_type4_2;Motor gunboat;;;;;;;;;;;;;;;;;;;;
jp_sehatei_mod1_shop;Se Ha 1 Gata;;;;;;;;;;;;;;;;;;;;
jp_sehatei_mod1_0;Shisei Ha Gō Sentō Tei 1 Gata | Se Ha 1 Gata;;;;;;;;;;;;;;;;;;;;
jp_sehatei_mod1_1;Se Ha;;;;;;;;;;;;;;;;;;;;
jp_sehatei_mod1_2;Armored boat;;;;;;;;;;;;;;;;;;;;
jp_type38_1944_shop;T-38 Dai 241 Gō;;;;;;;;;;;;;;;;;;;;
jp_type38_1944_0;Yokosuka Kaigun Kōshō | Otsu Gata Gyorai Tei | Dai 241 Gō Gata Gyorai Tei (T-38) | Dai 241 Gō;;;;;;;;;;;;;;;;;;;;
jp_type38_1944_1;T-38 Dai 241 Gō;;;;;;;;;;;;;;;;;;;;
jp_type38_1944_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_type1_pt2_shop;PT-802 Gyorai Tei 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_type1_pt2_0;Hitachi Zōsen | 1 Gō Gata Gyorai Tei | Gyorai Tei 2 Gō (PT-802);;;;;;;;;;;;;;;;;;;;
jp_type1_pt2_1;PT-802 Gyorai Tei 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_type1_pt2_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1942_shop;K-8 Dai 18 Gō;;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1942_0;Tsurumi Zōsensho | Dai 13 Gō Gata Kusen Tei (K-8) | Dai 18 Gō;;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1942_1;K-8 Dai 18 Gō;;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1942_2;Submarine chaser;;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1944_shop;K-8 Dai 18 Gō (1944);;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1944_0;Tsurumi Zōsensho | Dai 13 Gō Gata Kusen Tei (K-8) | Dai 18 Gō (1944);;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1944_1;K-8 Dai 18 Gō;;;;;;;;;;;;;;;;;;;;
jp_kusen_tei_13_1944_2;Submarine chaser;;;;;;;;;;;;;;;;;;;;
jp_t51a_shop;T-51A Dai 10 Gō;;;;;;;;;;;;;;;;;;;;
jp_t51a_0;Yokohama Yotto | Kō Gata Gyorai Tei | Dai 10 Gō Gata Gyorai Tei (T-51A) | Dai 10 Gō;;;;;;;;;;;;;;;;;;;;
jp_t51a_1;T-51A Dai 10 Gō;;;;;;;;;;;;;;;;;;;;
jp_t51a_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_t51b_shop;T-51B Dai 11 Gō;;;;;;;;;;;;;;;;;;;;
jp_t51b_0;Yokohama Yotto | Kō Gata Gyorai Tei | Dai 11 Gō Gata Gyorai Tei (T-51B) | Dai 11 Gō;;;;;;;;;;;;;;;;;;;;
jp_t51b_1;T-51B Dai 11 Gō;;;;;;;;;;;;;;;;;;;;
jp_t51b_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN COASTAL FLEET - VEHICLE/FAMILY START: RANK 3;;;;;;;;;;;;;;;;;;;;;
jp_no1_ch2_shop;K-3 Dai 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_no1_ch2_0;Ishikawajima Zōsensho | Dai 2 Gō Gata Kusen Tei (K-3) | Dai 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_no1_ch2_1;K-3 Dai 2 Gō;;;;;;;;;;;;;;;;;;;;
jp_no1_ch2_2;Submarine chaser;;;;;;;;;;;;;;;;;;;;
jp_no4_ch8_shop;K-7 Dai 8 Gō;;;;;;;;;;;;;;;;;;;;
jp_no4_ch8_0;Tama Zōsensho | Dai 4 Gō Gata Kusen Tei (K-7) | Dai 8 Gō;;;;;;;;;;;;;;;;;;;;
jp_no4_ch8_1;K-7 Dai 8 Gō;;;;;;;;;;;;;;;;;;;;
jp_no4_ch8_2;Submarine chaser;;;;;;;;;;;;;;;;;;;;
jp_type7_pt808_shop;PT-808 Gyorai Tei 8 Gō;;;;;;;;;;;;;;;;;;;;
jp_type7_pt808_0;Mitsubishi Jū Kōgyō Shimonoseki Zōsensho | 7 Gō Gata Gyorai Tei | Gyorai Tei 8 Gō (PT-808);;;;;;;;;;;;;;;;;;;;
jp_type7_pt808_1;PT-808 Gyorai Tei 8 Gō;;;;;;;;;;;;;;;;;;;;
jp_type7_pt808_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
//JAPAN COASTAL FLEET - VEHICLE/FAMILY START: RANK 4;;;;;;;;;;;;;;;;;;;;;
jp_type_11_pt_15_shop;PT-815 Gyorai Tei 15 Gō;;;;;;;;;;;;;;;;;;;;
jp_type_11_pt_15_0;Mitsubishi Jū Kōgyō Shimonoseki Zōsensho | 11 Gō Gata Gyorai Tei | Gyorai Tei 15 Gō (PT-815);;;;;;;;;;;;;;;;;;;;
jp_type_11_pt_15_1;PT-815 Gyorai Tei 15 Gō;;;;;;;;;;;;;;;;;;;;
jp_type_11_pt_15_2;Motor torpedo boat;;;;;;;;;;;;;;;;;;;;
jp_escort_ikazuchi_class_shop;DE-202 Ikazuchi;;;;;;;;;;;;;;;;;;;;
jp_escort_ikazuchi_class_0;Kawasaki Zōsensho | Otsu Gata Goeikan | Ikazuchi Gata Goeikan (E-102) | Ikazuchi (DE-202);;;;;;;;;;;;;;;;;;;;
jp_escort_ikazuchi_class_1;DE-202 Ikazuchi;;;;;;;;;;;;;;;;;;;;
jp_escort_ikazuchi_class_2;Destroyer escort;;;;;;;;;;;;;;;;;;;;
jp_escort_chikugo_class_shop;DE-218 Tokachi;;;;;;;;;;;;;;;;;;;;
